Year,Country,Number
2015,Taiwan,1257
2015,Tanzania,604
2015,Thailand,377
2015,Togo,103
2015,Tunisia,383
2015,Turkey,1004
2015,Uganda,529
2015,Ukraine,2024
2015,United Arab Emirates,9049
2015,United Kingdom,129754
2015,United States of America,8546
2015,Vietnam,457
2015,Zambia,867
2015,Zimbabwe,1892
2016,Afghanistan,787
2016,Algeria,310
2016,Angola,505
2016,Australia,18559
2016,Austria,16643
2016,Bahrain,165
2016,Bangladesh,844
2016,Belarus,422
2016,Belgium,15675
2016,Benin,66
2016,Botswana,1088
2016,Brazil,2912
2016,Bulgaria,1707
2016,Burundi,93
2016,Cameroon,321
2016,Canada,6060
2016,China,79374
2016,Comoros,800
2016,Congo,724
2016,Croatia,449
2016,Czechia,8503
2016,Denmark,6817
2016,Egypt,607
2016,Estonia,489
2016,Eswatini,370
2016,Ethiopia,272
2016,Finland,4415
2016,France,271963
2016,Gabon,215
2016,Germany,103761
2016,Ghana,889
2016,Greece,1122
2016,Hong Kong SAR,1342
2016,Hungary,2432
2016,India,82670
2016,Indonesia,2375
2016,Iran,837
2016,Ireland,3441
2016,Israel,1161
2016,Italy,31337
2016,Ivory Coast,350
2016,Japan,2655
2016,Jordan,154
2016,Kazakhstan,355
2016,Kenya,3185
2016,"Korea, South",6025
2016,Kuwait,461
2016,Latvia,589
2016,Lebanon,380
2016,Lesotho,223
2016,Lithuania,792
2016,Luxembourg,1534
2016,Madagascar,11740
2016,Malawi,402
2016,Malaysia,4628
2016,Maldives,54
2016,Mayotte,1189
2016,Morocco,674
2016,Mozambique,1144
2016,Namibia,1715
2016,Nepal,587
2016,Netherlands,10080
2016,New Zealand,939
2016,Niger,164
2016,Nigeria,1372
2016,Norway,4589
2016,Oman,245
2016,Pakistan,1610
2016,Philippines,2488
2016,Poland,10126
2016,Portugal,4222
2016,Qatar,385
2016,Reunion Island,146203
2016,Romania,2813
2016,Russia,9295
2016,Rwanda,183
2016,Saudi Arabia,3164
2016,Senegal,201
2016,Serbia,455
2016,Seychelles,6393
2016,Singapore,2840
2016,Slovakia,2934
2016,Slovenia,916
2016,South Africa,104834
2016,Spain,15304
2016,Sri Lanka,379
2016,Sudan,79
2016,Sweden,14551
2016,Switzerland,36272
2016,Taiwan,1457
2016,Tanzania,625
2016,Thailand,466
2016,Togo,78
2016,Tunisia,382
2016,Turkey,3486
2016,Uganda,469
2016,Ukraine,3230
2016,United Arab Emirates,9614
2016,United Kingdom,141904
2016,United States of America,8524
2016,Vietnam,729
2016,Zambia,999
2016,Zimbabwe,2047
2017,Afghanistan,764
2017,Algeria,404
2017,Angola,549
2017,Australia,21271
2017,Austria,17596
2017,Bahrain,171
2017,Bangladesh,1157
2017,Belarus,480
2017,Belgium,16420
2017,Benin,108
2017,Botswana,1072
2017,Brazil,4659
2017,Bulgaria,1386
2017,Burundi,108
2017,Cameroon,371
2017,Canada,6908
2017,China,72951
2017,Comoros,886
2017,Congo,703
2017,Croatia,675
2017,Czechia,10495
2017,Denmark,6971
2017,Egypt,728
2017,Estonia,808
2017,Eswatini,451
2017,Ethiopia,392
2017,Finland,4461
2017,France,273419
2017,Gabon,149
2017,Germany,118856
2017,Ghana,897
2017,Greece,1034
2017,Hong Kong SAR,1512
2017,Hungary,2829
2017,India,86294
2017,Indonesia,2670
2017,Iran,607
2017,Ireland,4020
2017,Israel,1698
2017,Italy,35101
2017,Ivory Coast,496
2017,Japan,2315
2017,Jordan,184
2017,Kazakhstan,402
2017,Kenya,3422
2017,"Korea, South",6858
2017,Kuwait,548
2017,Latvia,672
2017,Lebanon,447
2017,Lesotho,236
2017,Lithuania,1046
2017,Luxembourg,1802
2017,Madagascar,12730
2017,Malawi,363
2017,Malaysia,4352
2017,Maldives,58
2017,Mayotte,1340
2017,Morocco,771
2017,Mozambique,876
2017,Namibia,1505
2017,Nepal,374
2017,Netherlands,13269
2017,New Zealand,1052
2017,Niger,159
2017,Nigeria,1331
2017,Norway,5005
2017,Oman,207
2017,Pakistan,1088
2017,Philippines,2742
2017,Poland,11318
2017,Portugal,4254
2017,Qatar,237
2017,Reunion Island,146040
2017,Romania,2691
2017,Russia,11153
2017,Rwanda,221
2017,Saudi Arabia,5142
2017,Senegal,298
2017,Serbia,605
2017,Seychelles,6258
2017,Singapore,3230
2017,Slovakia,3735
2017,Slovenia,1312
2017,South Africa,112129
2017,Spain,15252
2017,Sri Lanka,517
2017,Sudan,175
2017,Sweden,15516
2017,Switzerland,40252
2017,Taiwan,1592
2017,Tanzania,697
2017,Thailand,682
2017,Togo,84
2017,Tunisia,577
2017,Turkey,2594
2017,Uganda,555
2017,Ukraine,2854
2017,United Arab Emirates,11866
2017,United Kingdom,149807
2017,United States of America,9655
2017,Vietnam,707
2017,Zambia,994
2017,Zimbabwe,2553
2018,Afghanistan,743
2018,Algeria,303
2018,Angola,637
2018,Australia,20949
2018,Austria,18572
2018,Bahrain,215
2018,Bangladesh,1195
2018,Belarus,509
2018,Belgium,15727
2018,Benin,119
2018,Botswana,1070
2018,Brazil,3743
2018,Bulgaria,1913
2018,Burundi,84
2018,Cameroon,445
2018,Canada,7747
2018,China,65736
2018,Comoros,956
2018,Congo,603
2018,Croatia,823
2018,Czechia,14254
2018,Denmark,7418
2018,Egypt,765
2018,Estonia,1049
2018,Eswatini,424
2018,Ethiopia,309
2018,Finland,4949
2018,France,285371
2018,Gabon,160
2018,Germany,132780
2018,Ghana,1011
2018,Greece,937
2018,Hong Kong SAR,1519
2018,Hungary,3277
2018,India,85765
2018,Indonesia,2519
2018,Iran,258
2018,Ireland,4004
2018,Israel,2165
2018,Italy,38361
2018,Ivory Coast,494
2018,Japan,2046
2018,Jordan,152
2018,Kazakhstan,306
2018,Kenya,4035
2018,"Korea, South",7204
2018,Kuwait,661
2018,Latvia,800
2018,Lebanon,499
2018,Lesotho,337
2018,Lithuania,829
2018,Luxembourg,1924
2018,Madagascar,14365
2018,Malawi,420
2018,Malaysia,2264
2018,Maldives,51
2018,Mayotte,1355
2018,Morocco,901
2018,Mozambique,809
2018,Namibia,1358
2018,Nepal,557
2018,Netherlands,16419
2018,New Zealand,1002
2018,Niger,160
2018,Nigeria,2157
2018,Norway,5332
2018,Oman,240
2018,Pakistan,1207
2018,Philippines,2872
2018,Poland,10806
2018,Portugal,4912
2018,Qatar,250
2018,Reunion Island,138439
2018,Romania,4368
2018,Russia,11007
2018,Rwanda,217
2018,Saudi Arabia,16507
2018,Senegal,275
2018,Serbia,656
2018,Seychelles,5370
2018,Singapore,2809
2018,Slovakia,4237
2018,Slovenia,1741
2018,South Africa,128097
2018,Spain,15063
2018,Sri Lanka,535
2018,Sudan,91
2018,Sweden,15539
2018,Switzerland,41080
2018,Taiwan,1767
2018,Tanzania,797
2018,Thailand,486
2018,Togo,68
2018,Tunisia,420
2018,Turkey,2600
2018,Uganda,676
2018,Ukraine,2765
2018,United Arab Emirates,12058
2018,United Kingdom,151913
2018,United States of America,10525
2018,Vietnam,740
2018,Zambia,1124
2018,Zimbabwe,2496
2019,Afghanistan,815
2019,Algeria,352
2019,Angola,627
2019,Australia,18997
2019,Austria,18390
2019,Bahrain,172
2019,Bangladesh,935
2019,Belarus,725
2019,Belgium,16959
2019,Benin,95
2019,Botswana,1514
2019,Brazil,3521
2019,Bulgaria,2040
2019,Burundi,110
2019,Cameroon,473
2019,Canada,8011
2019,China,42740
2019,Comoros,1305
2019,Congo,753
2019,Croatia,992
2019,Czechia,14729
2019,Denmark,7388
2019,Egypt,830
2019,Estonia,1313
2019,Eswatini,435
2019,Ethiopia,318
2019,Finland,4051
2019,France,302038
2019,Gabon,205
2019,Germany,129100
2019,Ghana,1036
2019,Greece,1086
2019,Hong Kong SAR,1432
2019,Hungary,4061
2019,India,75673
2019,Indonesia,2734
2019,Iran,136
2019,Ireland,3939
2019,Israel,3082
2019,Italy,41991
2019,Ivory Coast,557
2019,Japan,2234
2019,Jordan,253
2019,Kazakhstan,316
2019,Kenya,4887
2019,"Korea, South",7072
2019,Kuwait,817
2019,Latvia,631
2019,Lebanon,565
2019,Lesotho,240
2019,Lithuania,1338
2019,Luxembourg,2030
2019,Madagascar,15979
2019,Malawi,469
2019,Malaysia,2045
2019,Maldives,312
2019,Mayotte,1597
2019,Morocco,1053
2019,Mozambique,1151
2019,Namibia,1365
2019,Nepal,336
2019,Netherlands,16814
2019,New Zealand,1059
